bin_center,n,action_rate,adverse_event_rate
-14.5,2000,0.0995,0.18
-13.5,2000,0.1005,0.1835
-12.5,2000,0.096,0.163
-11.5,2000,0.099,0.1745
-10.5,2000,0.0975,0.174
-9.5,2000,0.101,0.172
-8.5,2000,0.1035,0.18
-7.5,2000,0.1065,0.16
-6.5,2000,0.1035,0.192
-5.5,2000,0.102,0.195
-4.5,2000,0.0915,0.205
-3.5,2000,0.106,0.203
-2.5,2000,0.1055,0.2115
-1.5,2000,0.1125,0.193
-0.5,2000,0.0965,0.217
0.5,2000,0.6565,0.1525
1.5,2000,0.657,0.145
2.5,2000,0.6535,0.169
3.5,2000,0.6475,0.1635
4.5,2000,0.6425,0.1595
5.5,2000,0.6515,0.1765
6.5,2000,0.671,0.1785
7.5,2000,0.6545,0.17
8.5,2000,0.656,0.1825
9.5,2000,0.658,0.1945
10.5,2000,0.6485,0.201
11.5,2000,0.6415,0.186
12.5,2000,0.628,0.2055
13.5,2000,0.6645,0.197
14.5,2000,0.6395,0.2055
